,true_index,sentiment_max,true_entity_name,true_entity_type
99,60,Afghanistan,LOC
100,60,Mazar-e-Sharif,LOC
101,61,Rio,LOC
102,62,Pacific,LOC
103,63,San Francisco Bay Area,LOC
104,64,Dounreay,LOC
105,65,Yoshinoya,ORG
106,66,Marcus Smart,PER
107,66,Celtics,ORG
108,66,Jaylen Brown,PER
109,67,MGE Energy,ORG
110,67,Zacks Investment Research,ORG
111,68,Hong Kong,LOC
112,69,Ace Rivington,ORG
113,70,Viant,ORG
114,71,The Daily Ripple-News,ORG
115,72,David Parker,PER
116,73,Welltower,ORG
117,75,Beavercreek High School,ORG
118,76,Sigma Planning Corp,ORG
119,76,Jazz Pharmaceuticals plc,ORG
120,77,South Africa,LOC
121,77,Durban,LOC
122,78,Philip Morris,ORG
123,79,Orderinbox,ORG
124,79,Paul Eastwood,PER
125,80,Russia,LOC
126,81,WELL Health,ORG
127,81,Bloom Burton & Co.ORG
128,82,LAS VEGAS,LOC
129,83,Calyxt,ORG
130,84,Truerlein,ORG
131,84,Moray chipper,ORG
132,85,Agilysys, Inc.,ORG
133,85,Laveti Sridhar,PER
134,86,San Francisco,LOC
135,88,Myanmar,LOC
136,89,Bucha,LOC
137,90,Ukraine,LOC
138,91,Bedford High School,ORG
139,92,Pool Corp.,ORG
140,93,Whole Earth Brands,ORG
141,94,The Daily Ripple-News,ORG
142,95,Savannah Seafood Shack,ORG
143,95,Zunzi's,ORG
144,96,Alabama,LOC
145,97,Biden,PER
146,98,Chippewa Falls,LOC
147,99,Alaska Air Group,ORG
148,100,Jay Wright,PER
149,101,Welltower,ORG
150,102,Letterston,LOC
151,103,North Korea,LOC
152,104,Sri Lanka,LOC
153,105,LOS ANGELES,LOC
154,106,CGI,ORG
155,107,GeoPark,ORG
156,107,TransGlobe Energy,ORG
157,108,Flipkart,ORG
158,108,Bengal,LOC
159,109,New Zealand,LOC
160,109,Japan,LOC
161,110,After-school ‘Satan club’,ORG
162,111,Lamont McClure,PER
163,112,Cyprus,LOC
164,113,Sigma Planning Corp,ORG
165,113,Vodafone Group Public Limited,ORG
166,114,northern Afghanistan,LOC
167,116,Shehbaz Sharif,PER
168,116,Imran Khan,PER
169,117,Butler Women’s Basketball,ORG
170,119,San Francisco,LOC
171,120,Elyes GADDOUR,PER
172,120,Comptoir africain COMAF,ORG
173,121,Biden,PER
174,121,Russia,LOC
175,122,Northern California,LOC
176,124,Lake Nona Wave Hotel,ORG
177,124,SONIFI,ORG
178,125,YouTube,ORG
179,125,Boston,LOC
180,125,Brooklyn,LOC
181,126,American Airlines Group Inc,ORG
182,127,MEDFORD,LOC
183,128,Robert Fico,PER
184,129,Bank of N.T. Butterfield & Son,ORG
185,129,Zacks Investment Research,ORG
186,130,The Daily Ripple-News,ORG
187,131,Pembroke Castle Goodwick,LOC
188,132,Modi,PER
189,133,Concert Golf Partners,ORG
190,133,Clearlake Capital,ORG
191,134,UN,ORG
192,134,Ukraine,LOC
193,135,Putin,PER
194,135,Mariupol,LOC
195,137,Greenbrier County,LOC
196,139,Reliance,ORG
197,140,UK,LOC
198,140,Scotland,LOC
199,141,LAS VEGAS,LOC
200,142,Sandy Spring Bancorp,ORG
201,143,Georgia,LOC
202,144,Lindy Blanchard,PER
203,145,Beggs High School,ORG
204,146,Sigma Planning Corp,ORG
205,146,ContextLogic Inc.,ORG
206,147,Veterans Minister,PER
207,147,RSA,ORG
208,148,RENO,LOC
209,149,TC Bancshares,ORG
210,149,Provident Financial,ORG
211,150,Korres,ORG
212,150,Sephora,ORG
213,151,Jignesh Mevani,PER
214,151,Assam,LOC
215,151,Kokrajhar,LOC
216,152,Peabody Energy New,ORG
217,153,Western Kabul,LOC
218,155,The Daily Ripple-News,ORG
219,156,Levi & Korsinsky,ORG
220,156,AbbVie Inc.,ORG
221,157,Kentucky,LOC
222,158,UN,ORG
223,158,Yemen,LOC
224,158,Houthi rebels,ORG
225,159,Clan Buchanan,PER
226,161,India,LOC
227,162,LOS ANGELES,LOC
228,163,Elyès GARA,PER
229,164,Mike Durant,PER
230,165,Belfast Central School,ORG
231,166,SAN JOAQUIN VALLEY,LOC
232,167,Bunzl,ORG
233,168,Sephora,ORG
234,169,India,LOC
235,170,thredUP,ORG
236,171,Carmarthenshire,LOC
237,173,Phoenix New Media,ORG
238,174,Daqo New Energy,ORG
239,175,Adiso Therapeutics,ORG
240,176,Sigma Planning Corp,ORG
241,176,New Residential Investment Corp.,ORG
242,177,MEDFORD,LOC
243,178,Highlands,LOC
244,179,Putin,PER
245,179,Mariupol,LOC
246,180,Norway,LOC
247,181,The Daily Ripple-News,ORG
248,182,Yemen,LOC
249,182,Hadi,PER
250,183,Najee Harris,PER
251,183,Dr. Britt Baker,PER
252,184,BOSTON,LOC
253,185,Riley Exploration Permian,ORG
254,185,Zacks Investment Research,ORG
255,187,Tint World®,ORG
256,187,Tennessee,LOC
257,188,Bulgaria,LOC
258,188,Bulgaria,LOC
259,189,Haverfordwest high street,LOC
260,191,RENO,LOC
261,192,Defense Metals Corp.,ORG
262,192,Wicheeda,LOC
263,193,Levi & Korsinsky,ORG
264,194,Thomas Tuchel,PER
265,194,Romelu Lukaku,PER
266,194,Chelsea,ORG
267,195,Lindsay Cameron,PER
268,196,Johnson,PER
269,196,India,LOC
270,197,Shanghai,LOC
271,198,Elyes GARALI,PER
272,200,Pendleton,LOC
273,201,Belleville High School
274,202,The Daily Ripple-News
